name,url,title
A# .NET,http://en.wikipedia.org/wiki/A_Sharp_(.NET),A_Sharp_(.NET)
A# (Axiom),http://en.wikipedia.org/wiki/A_Sharp_(Axiom),A_Sharp_(Axiom)
A-0 System,http://en.wikipedia.org/wiki/A-0_System,A-0_System
A+,http://en.wikipedia.org/wiki/A%2B_(programming_language),A+_(programming_language)
A++,http://en.wikipedia.org/wiki/A%2B%2B,A++
ABAP,http://en.wikipedia.org/wiki/ABAP,ABAP
ABC,http://en.wikipedia.org/wiki/ABC_(programming_language),ABC_(programming_language)
ABC ALGOL,http://en.wikipedia.org/wiki/ABC_ALGOL,ABC_ALGOL
ABLE,http://en.wikipedia.org/wiki/ABLE_(programming_language),ABLE_(programming_language)
ABSET,http://en.wikipedia.org/wiki/ABSET,ABSET
ABSYS,http://en.wikipedia.org/wiki/ABSYS,ABSYS
ACC,http://en.wikipedia.org/wiki/ACC_(programming_language),ACC_(programming_language)
Accent,http://en.wikipedia.org/wiki/Accent_(programming_language),Accent_(programming_language)
Ace DASL,http://en.wikipedia.org/wiki/Distributed_Application_Specification_Language,Distributed_Application_Specification_Language
ACL2,http://en.wikipedia.org/wiki/ACL2,ACL2
ACT-III,http://en.wikipedia.org/wiki/LGP-30#ACT-III_programming_language,LGP-30
Action!,http://en.wikipedia.org/wiki/Action!_(programming_language),Action!_(programming_language)
ActionScript,http://en.wikipedia.org/wiki/ActionScript,ActionScript
Ada,http://en.wikipedia.org/wiki/Ada_(programming_language),Ada_(programming_language)
Adenine,http://en.wikipedia.org/wiki/Adenine_(programming_language),Adenine_(programming_language)
Agda,http://en.wikipedia.org/wiki/Agda_(theorem_prover),Agda_(theorem_prover)
Agilent VEE,http://en.wikipedia.org/wiki/Agilent_VEE,Agilent_VEE
Agora,http://en.wikipedia.org/wiki/Agora_(programming_language),Agora_(programming_language)
AIMMS,http://en.wikipedia.org/wiki/AIMMS,AIMMS
Alef,http://en.wikipedia.org/wiki/Alef_(programming_language),Alef_(programming_language)
ALF,http://en.wikipedia.org/wiki/Algebraic_Logic_Functional_programming_language,Algebraic_Logic_Functional_programming_language
ALGOL 58,http://en.wikipedia.org/wiki/ALGOL_58,ALGOL_58
ALGOL 60,http://en.wikipedia.org/wiki/ALGOL_60,ALGOL_60
ALGOL 68,http://en.wikipedia.org/wiki/ALGOL_68,ALGOL_68
ALGOL W,http://en.wikipedia.org/wiki/ALGOL_W,ALGOL_W
Alice,http://en.wikipedia.org/wiki/Alice_(programming_language),Alice_(programming_language)
Alma-0,http://en.wikipedia.org/wiki/Alma-0,Alma-0
AmbientTalk,http://en.wikipedia.org/wiki/AmbientTalk,AmbientTalk
